[['v', '.', '.', '.', '>', '>', '.', 'v', 'v', '>'], ['.', 'v', 'v', '>', '>', '.', 'v', 'v', '.', '.'], ['>', '>', '.', '>', 'v', '>', '.', '.', '.', 'v'], ['>', '>', 'v', '>', '>', '.', '>', '.', 'v', '.'], ['v', '>', 'v', '.', 'v', 'v', '.', 'v', '.', '.'], ['>', '.', '>', '>', '.', '.', 'v', '.', '.', '.'], ['.', 'v', 'v', '.', '.', '>', '.', '>', 'v', '.'], ['v', '.', 'v', '.', '.', '>', '>', 'v', '.', 'v'], ['.', '.', '.', '.', 'v', '.', '.', 'v', '.', '>']]
         19132957 function calls (19126077 primitive calls) in 5.480 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 datetime.py:5(<module>)
        1    0.000    0.000    0.001    0.001 base.py:248(Index)
      736    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       56    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      100    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       19    0.000    0.000    0.001    0.000 _add_newdocs.py:6709(add_newdoc_for_scalar_type)
        3    0.000    0.000    0.000    0.000 enum.py:659(<listcomp>)
       41    0.000    0.000    0.000    0.000 _decorators.py:286(decorate)
        1    0.000    0.000    0.000    0.000 stata.py:737(StataMissingValue)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
      168    0.000    0.000    0.000    0.000 enum.py:531(__new__)
    47/26    0.000    0.000    0.001    0.000 typing.py:180(_subs_tvars)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        2    0.000    0.000    0.011    0.005 shape_base.py:1(<module>)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
        1    0.000    0.000    0.001    0.001 config_init.py:11(<module>)
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
      187    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       20    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
       51    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
        6    0.000    0.000    0.000    0.000 {method 'split' of 're.Pattern' objects}
      153    0.000    0.000    0.000    0.000 doc.py:9(create_section_header)
       91    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
      651    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.028    0.028 __init__.py:13(<module>)
       62    0.000    0.000    0.000    0.000 accessor.py:77(_create_delegator_property)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:114(_add_aliases)
       69    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
        2    0.000    0.000    0.041    0.020 generic.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
        1    0.000    0.000    0.001    0.001 multi.py:207(MultiIndex)
       47    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
        6    0.000    0.000    0.137    0.023 api.py:3(<module>)
